GW-Nummer;Messstelle;Datum;Abstich [cm];LF [µS/cm];pH [ -];O2 [mg/l];O2-Sätt [%];Q [l/s];T [°C];F [mg/l];Mg [mg/l];PO4 [mg/l];NH4 [mg/l];Ca [mg/l];Cl [mg/l];DOC [mg/l];Fe [mg/l];Mn [mg/l];Na [mg/l];NO3 [mg/l];P, ges [mg/l];KS 4,3 [mmol/l];KS 8,2 [mmol/l];SO4 [mg/l];GH [mmol/l];Tr.quant [FNU];K [mg/l]
0708/259-7;GWM 8, KA-Knielingen;05.11.2014 15:21;385;483;7.16;0.1;1;;14.8;0.14;7.3;;0.37;91.4;12.4;1.4;2;0.40;9.5;;;5.3;;11;2.58;;1.8
0708/259-7;GWM 8, KA-Knielingen;28.09.2016 09:40;398;452;7.2;0.1;0.5;;14.4;;;;0.34;;;;;;;;;;;;;;
0708/259-7;GWM 8, KA-Knielingen;11.09.2018 08:45;451;531;7.14;0.1;1;;14.8;;7.7;;0.36;104;22;;;;14.3;;;5.65;;15.4;2.91;;1.4
0708/259-7;GWM 8, KA-Knielingen;14.11.2018 10:59;494;854;6.92;0.4;5;;15.6;0.13;12.4;;0.53;167.8;100.5;1.6;4;0.75;31.5;;;6.8;;23;4.7;;2.4
0187/258-6;GWM 8/74 FWR, Graben;11.10.2006 09:15;501;596;7.22;0.1;1.1;;12;;;;0.02;;;;;;;42.5;;;;;;;
0187/258-6;GWM 8/74 FWR, Graben;16.06.2009 14:40;465;487;7.24;0.1;0.7;;12;0.08;12.5;;0.11;91.6;6.7;0.8;;0.12;5;1.8;0.008;5.3;;25;2.8;8.46;1.4
0187/258-6;GWM 8/74 FWR, Graben;10.09.2009 11:00;472;480;7.26;0.8;7.5;;12.1;;12.4;0.01;0.11;88.2;6.1;;;;4.9;0.7;0.007;5.28;;22.5;2.71;;1.3
0187/258-6;GWM 8/74 FWR, Graben;08.03.2010 14:27;462;;7.31;0.3;3.7;;12;;;;0.10;;;;;;;1.7;;;;;;;
0187/258-6;GWM 8/74 FWR, Graben;10.09.2010 09:51;452;470;7.23;;;;12.2;;12.6;0.01;0.11;88.1;6.2;;;;5;0.6;0.006;5.29;;22.5;2.72;;1.2
0187/258-6;GWM 8/74 FWR, Graben;14.03.2011 08:15;410;486;7.25;0.7;6;;12;;;;0.08;;;;;;;4.4;;;;;;;
0187/258-6;GWM 8/74 FWR, Graben;09.09.2011 12:13;449;470;7.27;0.2;2;;12.3;;13;0.03;0.12;89;6.8;;;;5;;0.03;5.37;;22;2.76;;1.4
0187/258-6;GWM 8/74 FWR, Graben;10.11.2011 12:30;466;454;7.14;0.2;2;;12.2;0.11;12.6;;0.12;89.7;6.2;1;;0.13;4.9;;;5.2;;22;2.76;;1.2
0187/258-6;GWM 8/74 FWR, Graben;14.03.2012 08:47;449;481;;;;;12.1;;;;0.11;;;;;;;;;;;;;;
0187/258-6;GWM 8/74 FWR, Graben;11.09.2012 11:34;476;477;7.35;0.2;;;12.3;;13;0.03;0.13;90;7.4;;;;5;;0.01;5.47;;24.4;2.78;;1.4
0187/258-6;GWM 8/74 FWR, Graben;13.03.2013 10:45;456;476;7.26;0.3;;;11.7;;;;0.11;;;;;;;0.6;;;;;;;
0187/258-6;GWM 8/74 FWR, Graben;04.09.2013 00:00;426;477;;;;;12.4;;12.7;;0.11;89.9;6.9;;;;4.8;;;5.2;;24.8;2.77;;1.2
0187/258-6;GWM 8/74 FWR, Graben;17.03.2014 11:35;410;478;7.34;0.8;8;;12.5;0.08;12;;0.10;88.6;7.2;0.8;0.686;0.11;4.4;0.9;;5.2;;26;2.7;;1.1
0187/258-6;GWM 8/74 FWR, Graben;10.09.2014 11:09;441;478;7.26;;;;12.3;;12.4;;0.09;90.5;7.5;;;;4.9;2;;5.2;;27.1;2.77;;1.2
0187/258-6;GWM 8/74 FWR, Graben;11.03.2015 13:25;425;;7.08;1.2;11;;12.4;;;;0.03;;;;;;;31.8;;;;;;;
0187/258-6;GWM 8/74 FWR, Graben;09.09.2015 09:52;464;546;7.24;0.6;5;;12.4;;13.9;0.015;0.05;98.9;13;;;;6.8;19.6;;;;47;3.04;;
0187/258-6;GWM 8/74 FWR, Graben;09.03.2016 09:18;478;510;7.09;0.7;6.6;;12.2;;;;0.04;;;;;;;10.1;;;;;;;
0187/258-6;GWM 8/74 FWR, Graben;05.09.2016 15:50;468;560;7.22;0.1;1;;12.4;;14;;0.04;110;14;;;;6;29.4;;4.99;;50;3.3;;2
0187/258-6;GWM 8/74 FWR, Graben;07.03.2017 10:45;492;556;7.22;;;;11.7;;;;0.07;;;;;;;28;;;;;;;
0187/258-6;GWM 8/74 FWR, Graben;07.09.2017 09:25;511;528;7.06;0.5;4.7;;12.5;;14.2;;0.07;101;11.8;;;;5.9;17.1;;5.07;;41.6;3.1;;1.5
0187/258-6;GWM 8/74 FWR, Graben;13.03.2018 11:35;456;575;7.16;;1;;11.8;;;;0.03;;;;;;;25.8;;;;;;;
0187/258-6;GWM 8/74 FWR, Graben;13.09.2018 15:20;479;584;7.25;;1;;11.9;;;;0.04;;;;;;;26.3;;;;;;;
0187/258-6;GWM 8/74 FWR, Graben;28.11.2018 13:31;498;549;7.13;0.2;2;;12.2;0.08;14.2;;0.06;112.1;14.9;1.3;0.163;0.07;5.4;29.2;;4.8;;48;3.38;;1.5
0187/258-6;GWM 8/74 FWR, Graben;20.03.2019 12:55;492;582;7.2;;;;12.3;;;;0.04;;;;;;;35;;;;;;;
0187/258-6;GWM 8/74 FWR, Graben;17.09.2019 10:10;504;536;7.19;;;;12.3;;13.1;;0.07;98.3;11.8;;;;5.6;14.9;;5.03;;42.8;2.99;;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;12.01.2006 14:15;;90;6.46;9.8;96;10,877;10.7;0.06;2.8;0.199;0.01;10.9;3.3;0.51;;;2.5;7.1;0.068;0.6;;8;0.39;0.31;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;28.03.2006 15:00;;95;6.33;10.8;100;33,333;10.7;0.09;3.2;0.126;0.01;10.4;3.2;0.8;;;2.5;9.3;0.044;0.4;;16;0.39;0.33;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;22.05.2006 13:00;;;6.45;10.8;100;6,061;10.6;0.08;3;0.166;;11.1;3.6;0.6;;;2.6;7.5;0.056;0.5;;10;0.4;0.49;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;25.07.2006 16:00;;90;6.52;10.6;100;9,179;11.1;0.06;2.8;0.199;0.01;10.8;3.6;0.5;;;2.4;6.6;0.067;0.5;;7;0.38;0.75;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;28.09.2006 14:30;;91;6.64;10.4;96;9,236;11;0.08;2.8;0.205;;11.5;3.9;0.6;;;2.4;6.6;0.069;0.6;;8;0.4;0.48;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;22.11.2006 17:00;;95;6.53;10.3;97;12,600;10.9;0.07;3.1;0.178;0.01;12.1;3.8;0.7;;;2.9;7.5;0.06;1.3;;11;0.43;1.06;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;14.03.2007 15:15;;94;6.25;10.6;96;70,000;10.5;0.09;3.2;0.117;;10.2;3.5;0.7;;;2.5;8.9;0.039;0.4;;18;0.39;0.51;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;13.06.2007 14:00;;102;6.57;10.8;99;12,136;10.9;0.08;2.9;0.181;;11.8;4.1;0.2;;;2.7;7.1;0.061;0.6;;9;0.41;0.56;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;12.09.2007 16:30;;91;6.26;9.7;88;14,894;10.8;0.07;2.9;0.184;;11.5;4;0.2;;;2.4;6.6;0.065;0.6;;8;0.41;0.29;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;12.12.2007 16:00;;;6.29;11.4;102;27,888;10.7;0.08;3.2;0.144;;11.3;3.4;0.8;;;2.5;9.7;0.051;0.4;;16;0.41;1.09;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;05.03.2008 15:00;;93;6.21;10.9;99;70,000;10.4;0.11;3.3;0.117;0.01;10.3;3;1.4;0.013;;2.3;9.3;0.039;0.2;;21;0.39;0.92;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;25.06.2008 17:00;;81;6.44;10.3;95;12,959;10.7;0.07;3;0.166;0.02;11.8;3.9;0.3;;;2.8;7.1;0.06;0.5;;9;0.42;0.88;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;25.09.2008 12:20;;89;6.41;10.4;95;10,606;11;0.06;2.8;0.209;0.02;11.5;3.9;0.2;;;2.6;6.2;0.07;0.6;;6;0.4;0.79;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;16.12.2008 16:00;;89;6.25;10.8;97;20,411;10.8;0.08;3;0.166;;11.4;3.7;0.2;;;2.6;8;0.058;0.5;;12;0.41;0.44;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;04.03.2009 16:45;;91;6.26;10.3;96;;10.6;0.09;3.1;0.12;0.02;10;3.4;0.8;;;3;8.9;0.043;0.3;;17;0.38;0.6;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;17.06.2009 16:30;;91;6.43;9.9;91;8,081;10.8;0.07;3;0.184;0.04;11.4;3.8;0;;;3;7.1;0.061;0.6;;9;0.41;0.59;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;23.09.2009 18:15;;90;6.6;10.6;97;10,191;10.8;0.07;2.8;0.215;0.01;11.4;3.9;0;;;3;6.2;0.071;0.6;;6;0.4;0.5;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;09.03.2010 15:00;;91;6.26;10.7;98;33,333;10.6;0.09;3;0.132;;9.7;3.4;0.7;;;2;8.4;0.043;0.4;;16;0.37;0.48;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;22.06.2010 15:45;;93;6.41;10.8;99;14,796;10.8;0.09;2.9;0.175;;10.6;3.9;0.3;;;2;7.1;0.058;0.5;;11;0.38;0.12;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;28.09.2010 09:30;;93;6.31;10.5;97;15,500;10.8;0.06;2.9;0.19;;11;4;0.3;;;2.7;7.1;0.063;0.7;;9;0.39;0.31;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;15.12.2010 16:30;;92;6.3;11;99;;10.2;0.09;3;0.117;;9.2;3.3;1.2;;;2.4;9.3;0.039;0.3;;18;0.35;1.14;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;30.03.2011 17:15;;93;6.38;10.5;96;16,323;10.6;0.07;2.9;0.175;;10.8;4;0.3;;;2.6;7.1;;0.5;;10;0.39;0.39;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;16.06.2011 16:15;;91;6.75;10.3;95;16,529;10.9;0.07;2.8;0.215;0.01;11.1;4.1;0;;;2.6;6.2;;0.7;;7;0.39;0.31;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;08.09.2011 18:00;;91;6.46;10.4;97;9,827;11.2;0.05;2.7;0.221;0.01;11.2;3.9;0.2;;;2.6;6.2;;0.6;;6;0.39;0.09;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;07.12.2011 13:15;;93;6.37;10;93;5,840;10.9;;2.6;0.236;0.01;10.8;3.7;0.3;;;2.3;6.6;;0.6;;6;0.38;0.77;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;14.03.2012 17:30;;91;6.44;10.6;97;14,858;10.7;0.06;3;0.166;0.01;10.3;3.6;0.3;;;2.7;7.5;;0.5;;10;0.38;0.12;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;12.06.2012 19:30;;93;6.86;10.9;97;6,543;11;;3;0.172;;11.2;3.5;0.3;;;2.7;8;;0.5;;;0.4;0.19;1.33
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;20.09.2012 17:00;;96;6.43;10.2;98;7,619;11;0.06;2.7;0.212;;10.6;3.8;0;;;2.5;6.2;;;;6;0.38;;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;19.12.2012 15:45;;92;6.32;10.4;95;;10.5;0.07;3.1;0.129;;9.2;2.6;1.3;;;2.2;10.2;;;;14;0.36;0.71;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;13.03.2013 15:30;;92;6.38;10.5;97;;10.7;0.07;3;0.147;0.01;9;3.3;0.5;;;2.5;8;;0.6;;13;0.35;0.06;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;27.06.2013 16:40;;94;6.35;10.3;94;26,491;10.6;0.06;3;0.159;;10.6;3.6;0.2;;;2.8;7.1;;0.7;;9;0.39;;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;11.09.2013 17:30;;95;6.45;10.5;97;13,274;10.9;0.06;2.8;0.202;;11;4;0.2;;;2.6;6.6;;0.7;;7;0.39;0.17;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;09.01.2014 15:40;;94;6.36;10.6;98;;10.5;0.08;3.1;0.113;;9.9;3.1;0.8;;;2.4;8.9;;0.5;;15;0.37;0.19;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;19.03.2014 18:30;;97;6.42;10.6;96;15,910;10.7;0.07;2.7;0.196;;9.5;3.7;0.3;;;2.5;7.5;;0.5;;11;0.35;0.12;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;23.06.2014 15:00;;93;6.32;10.6;98;12,960;11;0.05;2.6;0.209;;10.1;3.9;0;;;2.6;6.3;;0.7;;5;0.36;0.13;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;25.09.2014 15:30;;92;6.21;10.3;94;18,355;10.9;0.06;3;0.156;0.01;10.6;3.1;0.5;;;2.6;9;;0.6;;9;0.39;0.33;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;10.12.2014 16:00;;94;6.42;10.5;97;;10.8;0.06;2.9;0.187;;10.8;3.7;0;;;2.8;7.4;;0.6;;7;0.39;0.21;1.4
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;18.03.2015 15:30;;;6.26;10.6;96;;10.7;0.07;2.9;0.147;;10.1;3.6;0.3;;;2.6;7.6;;0.5;;12;0.37;0.13;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;16.06.2015 16:00;;92;6.38;10.3;94;10,140;10.8;0.06;2.7;0.202;0.02;10.9;4;0.2;;;2.5;6.8;;0.5;;7;0.38;0.27;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;15.09.2015 16:35;;88;6.6;10;93;11,700;11.1;0.06;2.6;0.215;;10.6;4.1;0;;;2.6;6.1;;0.9;;6;0.37;0.09;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;12.12.2015 15:15;;90;6.32;10.1;92;9,430;;0.06;2.6;0.212;;10.4;4;0.2;;;2.5;6.6;;0.6;;6;0.36;0.22;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;10.03.2016 15:00;;89;6.32;10.2;93;26,200;10.6;0.08;2.9;0.112;;9;3;0.9;;;2;8.9;;0.4;;15;0.34;0.29;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;30.06.2016 16:00;;92;6.29;10.1;93;30,010;10.7;0.07;3;0.117;;9.4;2.9;0.8;;;2.3;8.6;;0.4;;13;0.36;;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;12.09.2016 13:00;;91;6.35;10.2;94;18,020;10.9;0.05;2.6;0.198;;10.1;3.9;0.5;;;2.5;6.1;;0.6;;6;0.36;1.31;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;19.12.2016 15:30;;89;6.4;10.3;94;8,540;11;0.05;2.6;0.227;;11.6;4.3;0.2;;;2.5;6.1;;0.6;;6;0.4;0.26;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;15.03.2017 15:30;;88;6.21;10.5;96;14,960;10.9;0.06;2.6;0.169;;9.3;3.6;0.5;;;2.4;8.6;;0.5;;11;0.34;0.17;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;06.06.2017 15:15;;93;6.42;10.3;96;8,805;10.9;0.06;2.7;0.212;;11.7;3.9;0.3;;;2.4;6.7;;0.6;;7;0.4;;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;19.09.2017 13:30;;91;6.44;10.8;99;;11;0.05;2.6;0.209;;11.3;3.8;0.4;;;2.4;6.9;;0.6;;6;0.39;0.17;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;05.12.2017 14:45;;91;6.3;10.6;95;12,730;10.7;0.07;2.6;0.175;;10.3;3.4;0.9;;;2.2;9.1;;0.5;;10;0.37;0.23;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;20.02.2018 15:45;;90;6.3;10.9;100;;10.4;0.08;2.9;0.144;;10.2;3.5;0.9;;;2.4;8.9;;0.4;;15;0.37;0.31;1.3
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;05.06.2018 15:45;;92;6.31;;;12,100;11;0.07;2.6;0.201;;10.5;4;0.3;;;2.4;6.8;;0.6;;7;0.37;0.2;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;27.09.2018 14:15;;95;6.47;9.3;85;;11.8;0.06;2.3;0.213;;10.6;4.3;0.2;;;2.2;5.9;;0.7;;5;0.36;0.17;1.1
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;04.12.2018 15:15;;93;6.42;9.9;87;7,700;11;0.06;2.7;0.232;;12.7;4.3;0.3;;;2.8;6.2;;0.6;;5;0.43;0.4;1.9
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;21.03.2019 15:30;;100;6.38;10.6;97;;11;0.07;2.6;0.164;;9.6;3.3;0.7;;;2.3;9.3;;0.4;;11;0.35;0.39;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;11.06.2019 13:00;;89;6.4;10.2;99;;12.3;0.07;2.5;0.196;;11.5;3.6;0.6;;;2.2;7.6;;0.5;;8;0.39;;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;24.09.2019 15:30;;92;6.4;11;100;;11.7;0.06;2.5;0.238;;11;4.2;0.4;;;3.6;6.1;;0.6;;5;0.38;0.17;1.2
0600/260-0;QF Lochmühle, Ettlingen-Oberweier;05.12.2019 13:30;;91;6.49;11;100;;10.8;0.07;2.3;0.235;;10.3;4.2;0.3;;;2.1;6.4;;;;5;0.35;0.14;1.1
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;06.09.2006 12:18;429;1.322;6.64;0.3;3;;13.7;;;;1.39;;;;;;;;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;21.03.2007 12:35;390;1.289;6.78;0.6;6;;13.3;;;;0.40;;;;;;;16.3;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;03.08.2007 10:30;401;;6.7;4.5;47;;;;;;;;;;;;;;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;07.09.2007 10:00;406;1.288;6.7;0.2;2;;13.4;;31.7;0.15;0.79;267;57.8;;;;26.3;;0.065;9.36;;285;7.97;;9.9
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;05.03.2008 10:25;417;1.25;;0.3;3;;13.2;;;;1.02;;;;;;;1.5;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;18.09.2008 09:45;432;1.227;6.76;0.8;8;;13.2;;30.8;;1.03;253;57.7;;;;24.2;1.8;0.01;9.2;;246;7.58;;8.63
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;17.03.2009 09:30;405;1.263;;0.7;7.1;;13.1;;;;0.81;;;;;;;11.7;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;24.06.2009 11:31;403;1.249;6.74;0.2;2.2;;13.1;0.13;28.1;;0.75;249;56.2;5.6;3;0.61;25;12.8;0.069;9.2;;257;7.37;9.63;9.5
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;24.09.2009 13:00;425;1.253;6.7;;;;13.2;;31;;1.20;271;63;;;;30;0.8;0.28;9.33;;262;8.03;;12
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;23.02.2010 14:00;379;1.257;6.93;2.2;22;;12.9;0.16;28.8;;0.73;251.3;58.6;6;4;0.50;27;9.7;0.101;9;;273;7.45;19.14;9.6
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;21.09.2010 11:35;405;1.222;6.73;1;10;;13.1;;30;;0.92;239;58.5;;;;27.1;0.8;;9.17;;269;7.19;;10.8
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;17.03.2011 09:00;335;1.267;6.98;1.6;16;;12.8;;;;0.84;;;;;;;2.2;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;06.09.2011 12:48;390;1.211;6.77;;;;13;;28.5;0.09;1.00;237;61.4;;;;29.2;0.7;0.09;9.45;;222;7.09;;9.7
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;07.03.2012 15:00;;1.245;6.7;;;;13.1;;;;1.30;;;;;;;;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;18.09.2012 10:28;428;1.165;6.89;0.1;1.1;;13.2;;31;;1.30;237;59.8;;;;29;;0.18;10.2;;219;7.19;;9.7
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;19.03.2013 09:27;375;1.203;6.73;0.2;2.1;;13.2;0.13;29.2;;1.40;227.1;65.1;5.9;4;0.59;30.7;1.3;;9.6;;232;6.87;;9.7
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;22.05.2013 10:55;369;;6.75;0.3;3;;13.4;0.1;29.3;0.031;1.22;224.6;66.1;5.2;4;0.53;30.8;;;9.6;;224;6.81;;9.7
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;18.09.2013 13:05;335;1.247;6.77;;;;13.3;;28;;0.97;245;63;;;;30;;;9.72;;230;7.3;;9.3
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;26.03.2014 09:50;332;1.219;6.9;0.2;2.5;;13.1;;;;1.23;;;;;;;2.1;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;09.09.2014 10:59;385;1.185;6.72;0.1;1;;13.3;;28.9;;1.22;232.2;63.7;;;;29;;;9.86;;193;6.98;;10.1
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;18.03.2015 10:55;380;1.232;6.78;2.2;21;;13.5;;;;1.00;;;;;;;;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;22.09.2015 13:33;410;1.191;6.76;;;;13.5;;29;;1.40;225;68;;;;31;;;9.31;;200;6.8;;9.6
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;03.03.2016 12:40;390;1.204;6.84;0.2;2;;13.1;;;;0.84;;;;;;;6.6;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;15.09.2016 13:10;389;1.181;6.77;0.1;1;;13.9;0.11;28.9;;1.59;231.4;66.7;5.3;4;0.49;31.4;;;9.8;;203;6.96;;9.9
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;09.03.2017 10:35;411;1.223;6.74;;;;13.1;;;;1.08;;;;;;;2;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;14.09.2017 14:00;426;1.24;6.8;;;;13.5;;;;0.89;;;;;;;;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;06.03.2018 14:26;369;1.3;6.76;0.7;7.1;;13.7;;;;1.20;;;;;;;13.7;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;10.09.2018 12:52;413;1.22;6.74;;;;14;;;;1.70;;;;;;;;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;20.11.2018 11:55;435;1.125;6.78;0.2;2;;13.1;;;;;;;;;;;;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;13.03.2019 12:26;413;1.27;6.77;;;;13.8;;;;1.40;;;;;;;0.6;;;;;;;
0110/308-6;SBR 410 Vorklärbecken, Bruchsal;10.09.2019 10:46;428;1.226;6.71;0.2;2;;13.7;;;;1.32;;;;;;;;;;;;;;
0133/258-0;SBR 470, Friedrichstal;27.10.2006 09:45;445;;7.27;6;62;;16.3;;;;0.11;;;;;;;16.7;;;;;;;
0133/258-0;SBR 470, Friedrichstal;28.03.2007 14:47;410;534;;8.5;81;;11.3;;;;0.02;;;;;;;22.4;;;;;;;
0133/258-0;SBR 470, Friedrichstal;30.08.2007 14:30;417;;;2.3;23.6;;;;16.2;0.17;0.04;110;28.8;;;;16.1;29.7;0.059;5.8;;37.4;3.41;;10.2
0133/258-0;SBR 470, Friedrichstal;04.03.2008 18:18;425;627;;;;;13.3;;;;0.02;;;;;;;18;;;;;;;
0133/258-0;SBR 470, Friedrichstal;10.09.2008 15:30;423;591;7.16;2.4;24;;15.3;;16;0.17;0.02;91;20;;;;15;19.2;0.065;5.36;;33;2.86;;8.9
0133/258-0;SBR 470, Friedrichstal;12.03.2009 18:35;413;551;7.31;4.8;46.1;;9.5;;;;0.01;;;;;;;12.5;;;;;;;
0133/258-0;SBR 470, Friedrichstal;22.06.2009 14:50;406;587;7.22;2.8;27.2;;12.8;0.2;14.6;0.147;0.01;96.5;21.7;1.5;0.27;0.02;14;23.9;0.068;5.4;;33;3.01;4.7;7.9
0133/258-0;SBR 470, Friedrichstal;23.09.2009 14:50;410;547;7.16;5.8;59;;16.2;;17.5;0.28;0.03;92.2;11.8;;;;8.6;11.7;0.129;5.65;;23.9;3.02;;9.1
0133/258-0;SBR 470, Friedrichstal;23.03.2010 10:35;394;580;7.21;5.7;51.4;;10.4;;;;;;;;;;;14.2;;;;;;;
0133/258-0;SBR 470, Friedrichstal;10.09.2010 09:01;381;583;7.21;4.2;40.6;;13.4;;14.2;0.17;;91.1;37.2;;;;20.5;12.9;0.08;5.09;;32.9;2.86;;6.2
0133/258-0;SBR 470, Friedrichstal;14.03.2011 09:50;345;593;7.28;5.5;49;;10.1;;;;;;;;;;;11.1;;;;;;;
0133/258-0;SBR 470, Friedrichstal;09.09.2011 13:44;385;611;7.24;3.1;32;;14.1;;19;0.2;;102;22.4;;;;14;11.2;0.09;6.09;;33.4;3.33;;11
0133/258-0;SBR 470, Friedrichstal;10.11.2011 11:10;408;592;;3.8;37;;13.3;0.19;15.8;0.098;;97.4;24.3;1.6;0.024;0.02;15.5;13.3;;5.8;;33;3.08;;7.5
0133/258-0;SBR 470, Friedrichstal;14.03.2012 08:30;391;605;7.24;5.5;49;;9.8;;;;0.02;;;;;;;14.2;;;;;;;
0133/258-0;SBR 470, Friedrichstal;11.09.2012 09:44;413;574;7.25;6.5;66;;14;;15;0.11;0.04;100;15.9;;;;13;14.8;0.05;6.03;;33.4;3.11;;6.5
0133/258-0;SBR 470, Friedrichstal;13.03.2013 10:14;392;604;7.28;4.1;36;;9.7;;;;0.01;;;;;;;15.2;;;;;;;
0133/258-0;SBR 470, Friedrichstal;04.09.2013 00:00;368;610;;4.5;43.6;;14.1;;15.6;0.13;;101;27.3;;;;15;14.6;;5.57;;37.5;3.16;;7.3
0133/258-0;SBR 470, Friedrichstal;13.03.2014 08:30;360;619;7.41;5.1;45;;10.5;0.19;17.2;0.19;;97.4;26.6;1.7;0.098;;14.5;13.1;;5.7;;40;3.14;;9.7
0133/258-0;SBR 470, Friedrichstal;10.09.2014 12:11;385;587;7.2;4.2;41.3;;14.7;;15.6;0.15;;96.9;21;;;;15.8;13.1;;5.76;;31.5;3.06;;9.5
